"","isco08","isco08_l2","cno70","isco08_desc","cno70_desc","major_group","skill_level"
"209","4222",42,39,"Contact Centre Information Clerks","39 Warehouse clerks, storekeepers, administrative assistants, receptionists, travel office employees, library and archive employees, import and export assistants, document processors, miscellaneous, life and automobile insurance assistant","4. Clerical Support Workers","Medium"
"210","4223",42,38,"Telephone Switchboard Operators","38 Telephone operators, telegraphs","4. Clerical Support Workers","Medium"
"211","5000",50,51,NA,"51 Manager - owner of hotel, bars, restaurants",NA,NA
"212","5100",51,59,NA,"59 Tour guides, tourist police, undertaker, embalmer, casino bet taker, gate keepers, airline stewardesses, pharmacy assistant, nurses, veterinarian, sex worker",NA,NA
"213","5111",51,59,"Travel Attendants and Travel Stewards","59 Tour guides, tourist police, undertaker, embalmer, casino bet taker, gate keepers, airline stewardesses, pharmacy assistant, nurses, veterinarian, sex worker","5. Services and Sales Workers","Medium"
"214","5112",51,36,"Transport Conductors","36 Train chiefs, sleeper car controllers, collectors, bus hostesses","5. Services and Sales Workers","Medium"
"215","5113",51,19,"Travel Guides","19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader","5. Services and Sales Workers","Medium"
"216","5113",51,59,"Travel Guides","59 Tour guides, tourist police, undertaker, embalmer, casino bet taker, gate keepers, airline stewardesses, pharmacy assistant, nurses, veterinarian, sex worker","5. Services and Sales Workers","Medium"
"217","5120",51,53,"Cooks","53 Cooks, waiters, bartenders, and servers",NA,NA
"218","5121",51,52,NA,"52 Steward, Bursar, Housekeeper","5. Services and Sales Workers","Medium"
"219","5122",51,53,NA,"53 Cooks, waiters, bartenders, and servers","9. Elementary Occupations","Low"
"220","5122",51,53,NA,"53 Cooks, waiters, bartenders, and servers","3. Technicians and Associate Professionals","High"
"221","5122",51,53,NA,"53 Cooks, waiters, bartenders, and servers","5. Services and Sales Workers","Medium"
"222","5123",51,53,NA,"53 Cooks, waiters, bartenders, and servers","5. Services and Sales Workers","Medium"
"223","5131",51,54,"Waiters","54 Maid, nanny, escort, waitress","5. Services and Sales Workers","Medium"
"224","5132",51,59,"Bartenders","59 Tour guides, tourist police, undertaker, embalmer, casino bet taker, gate keepers, airline stewardesses, pharmacy assistant, nurses, veterinarian, sex worker","3. Technicians and Associate Professionals","High"
"225","5141",51,57,"Hairdressers","57 Hairdressers, barbers, manicurists, make-up artist, specialists in beauty treatments","5. Services and Sales Workers","Medium"
"226","5142",51,54,"Beauticians and Related Workers","54 Maid, nanny, escort, waitress","5. Services and Sales Workers","Medium"
"227","5143",51,59,NA,"59 Tour guides, tourist police, undertaker, embalmer, casino bet taker, gate keepers, airline stewardesses, pharmacy assistant, nurses, veterinarian, sex worker","5. Services and Sales Workers","Medium"
"228","5150",51,19,NA,"19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader",NA,NA
"229","5160",51,58,NA,"58 Firefighters, police officers, public and private detective, guards, prison guard",NA,NA
"230","5161",51,58,"Astrologers, Fortune-tellers and Related Workers","58 Firefighters, police officers, public and private detective, guards, prison guard","5. Services and Sales Workers","Medium"
"231","5162",51,58,"Companions and Valets","58 Firefighters, police officers, public and private detective, guards, prison guard","5. Services and Sales Workers","Medium"
"232","5163",51,58,"Undertakers and Embalmers","58 Firefighters, police officers, public and private detective, guards, prison guard","5. Services and Sales Workers","Medium"
"233","5164",51,58,"Pet Groomers and Animal Care Workers","58 Firefighters, police officers, public and private detective, guards, prison guard",NA,NA
"234","5169",51,58,"Personal Services Workers Not Elsewhere Classified","58 Firefighters, police officers, public and private detective, guards, prison guard","5. Services and Sales Workers","Medium"
"235","5210",52,45,NA,"45 Vendors, street vendors, home delivery, lottery and newspaper vendors, merchandisers","5. Services and Sales Workers","Medium"
"236","5220",52,45,NA,"45 Vendors, street vendors, home delivery, lottery and newspaper vendors, merchandisers","5. Services and Sales Workers","Medium"
"237","5230",52,45,"Cashiers and Ticket Clerks","45 Vendors, street vendors, home delivery, lottery and newspaper vendors, merchandisers","5. Services and Sales Workers","Medium"
"238","5230",52,41,"Cashiers and Ticket Clerks","41 Trader, owner","5. Services and Sales Workers","Medium"
"239","6100",61,62,NA,"62 Agricultural workers in general, farm laborers, tractor drivers, cotton pickers, milkers, pig farmers, rabbit farmers, poultry farmers, agriculturists, poultry farmers, gardeners, beekeepers",NA,NA
"240","6130",61,61,"Mixed Crop and Animal Producers","61 Farmers and ranchers","6. Skilled Agricultural, Forestry and Fishery Workers","Medium"
"241","6132",61,60,NA,"60 Administrator of agricultural exploitation, agricultural cooperatives, foreman, and/or farm foreman",NA,NA
"242","6133",61,61,NA,"61 Farmers and ranchers",NA,NA
"243","6141",61,63,NA,"63 Tree feller, forest nurseryman, ranger","6. Skilled Agricultural, Forestry and Fishery Workers","Medium"
"244","6142",61,74,NA,"74 Deal Operators","6. Skilled Agricultural, Forestry and Fishery Workers","Medium"
"245","6150",61,64,NA,"64 River and sea fishermen, fish farmers, trappers",NA,NA
"246","6154",61,64,NA,"64 River and sea fishermen, fish farmers, trappers","6. Skilled Agricultural, Forestry and Fishery Workers","Medium"
"247","6210",62,61,"Forestry and Related Workers","61 Farmers and ranchers","6. Skilled Agricultural, Forestry and Fishery Workers","Medium"
"248","7110",71,71,NA,"71 Miner, stonemason, blaster, gold panner, prospector (oil and gas wells)",NA,NA
"249","7111",71,71,"House Builders","71 Miner, stonemason, blaster, gold panner, prospector (oil and gas wells)","3. Technicians and Associate Professionals","High"
"250","7111",71,71,"House Builders","71 Miner, stonemason, blaster, gold panner, prospector (oil and gas wells)","8. Plant and Machine Operators and Assemblers","Medium"
"251","7113",71,82,"Stonemasons, Stone Cutters, Splitters and Carvers","82 Labrantes and adornistas (they polish granite, marble, and limestone)","7. Craft and Related Trades Workers","Medium"
"252","7120",71,95,NA,"95 Bricklayers, stucco workers, glass workers, masons, roofers, carpenters",NA,NA
"253","7122",71,95,"Floor Layers and Tile Setters","95 Bricklayers, stucco workers, glass workers, masons, roofers, carpenters","7. Craft and Related Trades Workers","Medium"
"254","7123",71,95,"Plasterers","95 Bricklayers, stucco workers, glass workers, masons, roofers, carpenters","7. Craft and Related Trades Workers","Medium"
"255","7124",71,95,"Insulation Workers","95 Bricklayers, stucco workers, glass workers, masons, roofers, carpenters","7. Craft and Related Trades Workers","Medium"
"256","7129",71,95,NA,"95 Bricklayers, stucco workers, glass workers, masons, roofers, carpenters","3. Technicians and Associate Professionals","High"
"257","7129",71,95,NA,"95 Bricklayers, stucco workers, glass workers, masons, roofers, carpenters","7. Craft and Related Trades Workers","Medium"
"258","7131",71,95,"Painters and Related Workers","95 Bricklayers, stucco workers, glass workers, masons, roofers, carpenters","7. Craft and Related Trades Workers","Medium"
"259","7133",71,95,"Building Structure Cleaners","95 Bricklayers, stucco workers, glass workers, masons, roofers, carpenters","7. Craft and Related Trades Workers","Medium"
"260","7134",71,95,NA,"95 Bricklayers, stucco workers, glass workers, masons, roofers, carpenters","7. Craft and Related Trades Workers","Medium"
"261","7135",71,95,NA,"95 Bricklayers, stucco workers, glass workers, masons, roofers, carpenters","7. Craft and Related Trades Workers","Medium"
"262","7136",71,87,NA,"87 Plumbers, welders, plumbers, gas pipe fitters, riveters, tinkers","7. Craft and Related Trades Workers","Medium"
"263","7137",71,85,NA,"85 Home and automotive electricians, telephone and meter installers, and repairers","7. Craft and Related Trades Workers","Medium"
"264","7141",71,93,NA,"93 Painter of buildings, automobiles, paint mixer","7. Craft and Related Trades Workers","Medium"
"265","7141",71,95,NA,"95 Bricklayers, stucco workers, glass workers, masons, roofers, carpenters","7. Craft and Related Trades Workers","Medium"
"266","7142",71,93,NA,"93 Painter of buildings, automobiles, paint mixer","7. Craft and Related Trades Workers","Medium"
"267","7143",71,55,NA,"55 Building guardian, doorman, sacristan, cleaner, window cleaner, chimney sweep","7. Craft and Related Trades Workers","Medium"
"268","7210",72,87,NA,"87 Plumbers, welders, plumbers, gas pipe fitters, riveters, tinkers",NA,NA
"269","7211",72,72,"Metal Moulders and Coremakers","72 Caster, rolling mill, moulder, wire drawing machine, galvanizer, polisher of cast metal parts, metal cleaner","7. Craft and Related Trades Workers","Medium"
"270","7212",72,87,"Welders and Flame Cutters","87 Plumbers, welders, plumbers, gas pipe fitters, riveters, tinkers","7. Craft and Related Trades Workers","Medium"
"271","7213",72,87,"Sheet Metal Workers","87 Plumbers, welders, plumbers, gas pipe fitters, riveters, tinkers","7. Craft and Related Trades Workers","Medium"
"272","7214",72,87,"Structural Metal Preparers and Erectors","87 Plumbers, welders, plumbers, gas pipe fitters, riveters, tinkers","7. Craft and Related Trades Workers","Medium"
"273","7215",72,97,"Riggers and Cable Splicers","97 Handling of merchandise and earthworks – Stevedores, loaders, packers, cable splicers, crane drivers, heavy machinery operators","7. Craft and Related Trades Workers","Medium"
"274","7220",72,83,NA,"83 Blacksmiths, trimmers, smiths, machine tool fitters, drillers, metal dressers, grinders, knife sharpeners, scissors, locksmith",NA,NA
"275","7220",72,72,NA,"72 Caster, rolling mill, moulder, wire drawing machine, galvanizer, polisher of cast metal parts, metal cleaner",NA,NA
"276","7221",72,83,"Blacksmiths, Hammersmiths and Forging Press Workers","83 Blacksmiths, trimmers, smiths, machine tool fitters, drillers, metal dressers, grinders, knife sharpeners, scissors, locksmith","7. Craft and Related Trades Workers","Medium"
"277","7222",72,83,"Toolmakers and Related Workers","83 Blacksmiths, trimmers, smiths, machine tool fitters, drillers, metal dressers, grinders, knife sharpeners, scissors, locksmith","7. Craft and Related Trades Workers","Medium"
"278","7223",72,83,"Metal Working Machine Tool Setters and  Operators","83 Blacksmiths, trimmers, smiths, machine tool fitters, drillers, metal dressers, grinders, knife sharpeners, scissors, locksmith","7. Craft and Related Trades Workers","Medium"
"279","7224",72,83,"Metal Polishers, Wheel Grinders and Tool Sharpeners","83 Blacksmiths, trimmers, smiths, machine tool fitters, drillers, metal dressers, grinders, knife sharpeners, scissors, locksmith","7. Craft and Related Trades Workers","Medium"
"280","7230",72,84,NA,"84 Fitters, assemblers and installers of machinery and precision instruments, watchmakers and mechanics",NA,NA
"281","7231",72,84,"Motor Vehicle Mechanics and Repairers","84 Fitters, assemblers and installers of machinery and precision instruments, watchmakers and mechanics","7. Craft and Related Trades Workers","Medium"
"282","7232",72,84,"Aircraft Engine Mechanics and Repairers","84 Fitters, assemblers and installers of machinery and precision instruments, watchmakers and mechanics","7. Craft and Related Trades Workers","Medium"
"283","7233",72,84,"Agricultural and Industrial Machinery Mechanics and Repairers","84 Fitters, assemblers and installers of machinery and precision instruments, watchmakers and mechanics","7. Craft and Related Trades Workers","Medium"
"284","7234",72,84,"Bicycle and Related Repairers","84 Fitters, assemblers and installers of machinery and precision instruments, watchmakers and mechanics",NA,NA
"285","7240",72,85,NA,"85 Home and automotive electricians, telephone and meter installers, and repairers",NA,NA
"286","7241",72,93,NA,"93 Painter of buildings, automobiles, paint mixer","7. Craft and Related Trades Workers","Medium"
"287","7241",72,85,NA,"85 Home and automotive electricians, telephone and meter installers, and repairers","7. Craft and Related Trades Workers","Medium"
"288","7242",72,85,NA,"85 Home and automotive electricians, telephone and meter installers, and repairers","7. Craft and Related Trades Workers","Medium"
"289","7243",72,85,NA,"85 Home and automotive electricians, telephone and meter installers, and repairers","7. Craft and Related Trades Workers","Medium"
"290","7244",72,85,NA,"85 Home and automotive electricians, telephone and meter installers, and repairers","7. Craft and Related Trades Workers","Medium"
"291","7245",72,85,NA,"85 Home and automotive electricians, telephone and meter installers, and repairers","7. Craft and Related Trades Workers","Medium"
"292","7311",73,84,"Precision-instrument Makers and Repairers","84 Fitters, assemblers and installers of machinery and precision instruments, watchmakers and mechanics","7. Craft and Related Trades Workers","Medium"
"293","7312",73,94,"Musical Instrument Makers and Tuners","94 Manufacturing workers, builders, and tuners of musical instruments weave baskets, and make furniture from cane, reed or wicker, brushes, and brooms. Operator in the elaboration of precast concrete, matches, linoleum, pencils, artificial teeth, film, and photographic paper, makes dolls and rag toys, buttons, rubber stamps, manufactures blinds, taxidermist","7. Craft and Related Trades Workers","Medium"
"294","7313",73,88,"Jewellery and Precious Metal Workers","88 Jewelers and silversmiths","7. Craft and Related Trades Workers","Medium"
"295","7320",73,89,NA,"89 Glaziers, potters, blowers, modelers, laminators, cutters, glass polishers, bevelers, kiln-makers (tiles, bricks, earthenware, porcelain), glass and ceramic painters and decorators",NA,NA
"296","7321",73,89,"Pre-press Technicians","89 Glaziers, potters, blowers, modelers, laminators, cutters, glass polishers, bevelers, kiln-makers (tiles, bricks, earthenware, porcelain), glass and ceramic painters and decorators","7. Craft and Related Trades Workers","Medium"
"297","7322",73,89,"Printers","89 Glaziers, potters, blowers, modelers, laminators, cutters, glass polishers, bevelers, kiln-makers (tiles, bricks, earthenware, porcelain), glass and ceramic painters and decorators","7. Craft and Related Trades Workers","Medium"
"298","7323",73,89,"Print Finishing and Binding Workers","89 Glaziers, potters, blowers, modelers, laminators, cutters, glass polishers, bevelers, kiln-makers (tiles, bricks, earthenware, porcelain), glass and ceramic painters and decorators","7. Craft and Related Trades Workers","Medium"
"299","7324",73,89,NA,"89 Glaziers, potters, blowers, modelers, laminators, cutters, glass polishers, bevelers, kiln-makers (tiles, bricks, earthenware, porcelain), glass and ceramic painters and decorators","7. Craft and Related Trades Workers","Medium"
"300","7331",73,94,NA,"94 Manufacturing workers, builders, and tuners of musical instruments weave baskets, and make furniture from cane, reed or wicker, brushes, and brooms. Operator in the elaboration of precast concrete, matches, linoleum, pencils, artificial teeth, film, and photographic paper, makes dolls and rag toys, buttons, rubber stamps, manufactures blinds, taxidermist","7. Craft and Related Trades Workers","Medium"
"301","7340",73,92,NA,"92 Graphic arts workers, typographers, bookbinders",NA,NA
"302","7341",73,92,NA,"92 Graphic arts workers, typographers, bookbinders","7. Craft and Related Trades Workers","Medium"
"303","7342",73,92,NA,"92 Graphic arts workers, typographers, bookbinders","7. Craft and Related Trades Workers","Medium"
"304","7343",73,92,NA,"92 Graphic arts workers, typographers, bookbinders","7. Craft and Related Trades Workers","Medium"
"305","7345",73,92,NA,"92 Graphic arts workers, typographers, bookbinders","7. Craft and Related Trades Workers","Medium"
"306","7411",74,77,"Building and Related Electricians","77 Workers in the preparation of food and beverages – bakers, pastry chefs, confectioners, butchers, butchers, treatment and production of dairy products, trapichero, panelero, baker, taster, brewers","7. Craft and Related Trades Workers","Medium"
"307","7412",74,77,"Electrical Mechanics and Fitters","77 Workers in the preparation of food and beverages – bakers, pastry chefs, confectioners, butchers, butchers, treatment and production of dairy products, trapichero, panelero, baker, taster, brewers","7. Craft and Related Trades Workers","Medium"
"308","7420",74,81,NA,"81 Carpenters, cabinetmakers, farmers, carver",NA,NA
"309","7421",74,73,"Electronics Mechanics and Servicers","73 Wood treatment and paper and cardboard manufacturing workers","7. Craft and Related Trades Workers","Medium"
"310","7422",74,81,"Information and Communications Technology Installers and Servicers","81 Carpenters, cabinetmakers, farmers, carver","7. Craft and Related Trades Workers","Medium"
"311","7424",74,94,NA,"94 Manufacturing workers, builders, and tuners of musical instruments weave baskets, and make furniture from cane, reed or wicker, brushes, and brooms. Operator in the elaboration of precast concrete, matches, linoleum, pencils, artificial teeth, film, and photographic paper, makes dolls and rag toys, buttons, rubber stamps, manufactures blinds, taxidermist","7. Craft and Related Trades Workers","Medium"
"312","7432",74,75,NA,"75 Fiber classifier, wool washer, textile fibers (exc. Wool), operators in the manufacture of fertilizers, paints and varnishes (includes dyes), resins and the like, acids, spinners, winders, weavers, bleachers, dyers, quality inspector (fibers)","8. Plant and Machine Operators and Assemblers","Medium"
"313","7432",74,75,NA,"75 Fiber classifier, wool washer, textile fibers (exc. Wool), operators in the manufacture of fertilizers, paints and varnishes (includes dyes), resins and the like, acids, spinners, winders, weavers, bleachers, dyers, quality inspector (fibers)","7. Craft and Related Trades Workers","Medium"
"314","7433",74,79,NA,"79 Tailors, dressmakers, furriers, upholsterers, hat makers, embroiderers, mattress makers","7. Craft and Related Trades Workers","Medium"
"315","7434",74,79,NA,"79 Tailors, dressmakers, furriers, upholsterers, hat makers, embroiderers, mattress makers","7. Craft and Related Trades Workers","Medium"
"316","7435",74,79,NA,"79 Tailors, dressmakers, furriers, upholsterers, hat makers, embroiderers, mattress makers","7. Craft and Related Trades Workers","Medium"
"317","7436",74,79,NA,"79 Tailors, dressmakers, furriers, upholsterers, hat makers, embroiderers, mattress makers","7. Craft and Related Trades Workers","Medium"
"318","7437",74,79,NA,"79 Tailors, dressmakers, furriers, upholsterers, hat makers, embroiderers, mattress makers","7. Craft and Related Trades Workers","Medium"
"319","7441",74,76,NA,"76 Tanner, dresser, dyer of hides and skins","7. Craft and Related Trades Workers","Medium"
"320","7442",74,80,NA,"80 Shoemakers, trimmer, leather craftsmen, saddlers","7. Craft and Related Trades Workers","Medium"
"321","7520",75,94,NA,"94 Manufacturing workers, builders, and tuners of musical instruments weave baskets, and make furniture from cane, reed or wicker, brushes, and brooms. Operator in the elaboration of precast concrete, matches, linoleum, pencils, artificial teeth, film, and photographic paper, makes dolls and rag toys, buttons, rubber stamps, manufactures blinds, taxidermist",NA,NA
"322","7520",75,99,NA,"99 Unclassified laborers, garbage collectors, shoeshine boys, tire iron, street, garden, and park sweeper, restaurant dishwashers",NA,NA
"323","7530",75,99,NA,"99 Unclassified laborers, garbage collectors, shoeshine boys, tire iron, street, garden, and park sweeper, restaurant dishwashers",NA,NA
"324","8112",81,71,"Mineral and Stone Processing Plant Operators","71 Miner, stonemason, blaster, gold panner, prospector (oil and gas wells)","8. Plant and Machine Operators and Assemblers","Medium"
"325","8113",81,71,"Well Drillers and Borers and Related Workers","71 Miner, stonemason, blaster, gold panner, prospector (oil and gas wells)","8. Plant and Machine Operators and Assemblers","Medium"
"326","8120",81,72,NA,"72 Caster, rolling mill, moulder, wire drawing machine, galvanizer, polisher of cast metal parts, metal cleaner",NA,NA
"327","8121",81,72,"Metal Processing Plant Operators","72 Caster, rolling mill, moulder, wire drawing machine, galvanizer, polisher of cast metal parts, metal cleaner","8. Plant and Machine Operators and Assemblers","Medium"
"328","8122",81,72,"Metal Finishing, Plating and Coating Machine Operators","72 Caster, rolling mill, moulder, wire drawing machine, galvanizer, polisher of cast metal parts, metal cleaner","8. Plant and Machine Operators and Assemblers","Medium"
"329","8122",81,72,"Metal Finishing, Plating and Coating Machine Operators","72 Caster, rolling mill, moulder, wire drawing machine, galvanizer, polisher of cast metal parts, metal cleaner","3. Technicians and Associate Professionals","High"
"330","8123",81,72,NA,"72 Caster, rolling mill, moulder, wire drawing machine, galvanizer, polisher of cast metal parts, metal cleaner","3. Technicians and Associate Professionals","High"
"331","8124",81,72,NA,"72 Caster, rolling mill, moulder, wire drawing machine, galvanizer, polisher of cast metal parts, metal cleaner","3. Technicians and Associate Professionals","High"
"332","8130",81,89,NA,"89 Glaziers, potters, blowers, modelers, laminators, cutters, glass polishers, bevelers, kiln-makers (tiles, bricks, earthenware, porcelain), glass and ceramic painters and decorators",NA,NA
"333","8131",81,89,"Chemical Products Plant and Machine Operators","89 Glaziers, potters, blowers, modelers, laminators, cutters, glass polishers, bevelers, kiln-makers (tiles, bricks, earthenware, porcelain), glass and ceramic painters and decorators","8. Plant and Machine Operators and Assemblers","Medium"
"334","8140",81,73,NA,"73 Wood treatment and paper and cardboard manufacturing workers",NA,NA
"335","8141",81,73,"Rubber Products Machine Operators","73 Wood treatment and paper and cardboard manufacturing workers","8. Plant and Machine Operators and Assemblers","Medium"
"336","8142",81,73,"Plastic Products Machine Operators","73 Wood treatment and paper and cardboard manufacturing workers","8. Plant and Machine Operators and Assemblers","Medium"
"337","8143",81,73,"Paper Products Machine Operators","73 Wood treatment and paper and cardboard manufacturing workers","3. Technicians and Associate Professionals","High"
"338","8150",81,74,NA,"74 Deal Operators",NA,NA
"339","8151",81,74,"Fibre Preparing, Spinning and Winding Machine Operators","74 Deal Operators","8. Plant and Machine Operators and Assemblers","Medium"
"340","8152",81,74,"Weaving and Knitting Machine Operators","74 Deal Operators","8. Plant and Machine Operators and Assemblers","Medium"
"341","8153",81,74,"Sewing Machine Operators","74 Deal Operators","3. Technicians and Associate Professionals","High"
"342","8154",81,74,"Bleaching, Dyeing and Fabric Cleaning Machine Operators","74 Deal Operators","3. Technicians and Associate Professionals","High"
"343","8155",81,74,"Fur and Leather Preparing Machine Operators","74 Deal Operators","3. Technicians and Associate Professionals","High"
"344","8159",81,74,"Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified","74 Deal Operators","8. Plant and Machine Operators and Assemblers","Medium"
"345","8160",81,96,"Food and Related Products Machine Operators","96 Operator of electrical energy production facilities, fixed machines",NA,NA
"346","8161",81,96,NA,"96 Operator of electrical energy production facilities, fixed machines","3. Technicians and Associate Professionals","High"
"347","8162",81,98,NA,"98 Drivers of transport vehicles, taxi drivers, drivers","8. Plant and Machine Operators and Assemblers","Medium"
"348","8211",82,83,"Mechanical Machinery Assemblers","83 Blacksmiths, trimmers, smiths, machine tool fitters, drillers, metal dressers, grinders, knife sharpeners, scissors, locksmith","3. Technicians and Associate Professionals","High"
"349","8211",82,83,"Mechanical Machinery Assemblers","83 Blacksmiths, trimmers, smiths, machine tool fitters, drillers, metal dressers, grinders, knife sharpeners, scissors, locksmith","7. Craft and Related Trades Workers","Medium"
"350","8212",82,94,"Electrical and Electronic Equipment Assemblers","94 Manufacturing workers, builders, and tuners of musical instruments weave baskets, and make furniture from cane, reed or wicker, brushes, and brooms. Operator in the elaboration of precast concrete, matches, linoleum, pencils, artificial teeth, film, and photographic paper, makes dolls and rag toys, buttons, rubber stamps, manufactures blinds, taxidermist","8. Plant and Machine Operators and Assemblers","Medium"
"351","8223",82,83,NA,"83 Blacksmiths, trimmers, smiths, machine tool fitters, drillers, metal dressers, grinders, knife sharpeners, scissors, locksmith","8. Plant and Machine Operators and Assemblers","Medium"
"352","8223",82,72,NA,"72 Caster, rolling mill, moulder, wire drawing machine, galvanizer, polisher of cast metal parts, metal cleaner","3. Technicians and Associate Professionals","High"
"353","8224",82,92,NA,"92 Graphic arts workers, typographers, bookbinders","3. Technicians and Associate Professionals","High"
"354","8230",82,90,NA,"90 Workers in the manufacture of rubber and plastic products",NA,NA
"355","8231",82,90,NA,"90 Workers in the manufacture of rubber and plastic products","3. Technicians and Associate Professionals","High"
"356","8240",82,81,NA,"81 Carpenters, cabinetmakers, farmers, carver","3. Technicians and Associate Professionals","High"
"357","8251",82,92,NA,"92 Graphic arts workers, typographers, bookbinders","7. Craft and Related Trades Workers","Medium"
"358","8253",82,91,NA,"91 Manufacturers of boxes, cardboard, and paper bags","8. Plant and Machine Operators and Assemblers","Medium"
"359","8260",82,75,NA,"75 Fiber classifier, wool washer, textile fibers (exc. Wool), operators in the manufacture of fertilizers, paints and varnishes (includes dyes), resins and the like, acids, spinners, winders, weavers, bleachers, dyers, quality inspector (fibers)",NA,NA
"360","8261",82,75,NA,"75 Fiber classifier, wool washer, textile fibers (exc. Wool), operators in the manufacture of fertilizers, paints and varnishes (includes dyes), resins and the like, acids, spinners, winders, weavers, bleachers, dyers, quality inspector (fibers)","3. Technicians and Associate Professionals","High"
"361","8261",82,75,NA,"75 Fiber classifier, wool washer, textile fibers (exc. Wool), operators in the manufacture of fertilizers, paints and varnishes (includes dyes), resins and the like, acids, spinners, winders, weavers, bleachers, dyers, quality inspector (fibers)","8. Plant and Machine Operators and Assemblers","Medium"
"362","8262",82,75,NA,"75 Fiber classifier, wool washer, textile fibers (exc. Wool), operators in the manufacture of fertilizers, paints and varnishes (includes dyes), resins and the like, acids, spinners, winders, weavers, bleachers, dyers, quality inspector (fibers)","8. Plant and Machine Operators and Assemblers","Medium"
"363","8262",82,75,NA,"75 Fiber classifier, wool washer, textile fibers (exc. Wool), operators in the manufacture of fertilizers, paints and varnishes (includes dyes), resins and the like, acids, spinners, winders, weavers, bleachers, dyers, quality inspector (fibers)","3. Technicians and Associate Professionals","High"
"364","8264",82,56,NA,"56 Laundresses, cleaners, ironers","8. Plant and Machine Operators and Assemblers","Medium"
"365","8264",82,75,NA,"75 Fiber classifier, wool washer, textile fibers (exc. Wool), operators in the manufacture of fertilizers, paints and varnishes (includes dyes), resins and the like, acids, spinners, winders, weavers, bleachers, dyers, quality inspector (fibers)","8. Plant and Machine Operators and Assemblers","Medium"
"366","8269",82,79,NA,"79 Tailors, dressmakers, furriers, upholsterers, hat makers, embroiderers, mattress makers","8. Plant and Machine Operators and Assemblers","Medium"
"367","8270",82,77,NA,"77 Workers in the preparation of food and beverages – bakers, pastry chefs, confectioners, butchers, butchers, treatment and production of dairy products, trapichero, panelero, baker, taster, brewers",NA,NA
"368","8271",82,77,NA,"77 Workers in the preparation of food and beverages – bakers, pastry chefs, confectioners, butchers, butchers, treatment and production of dairy products, trapichero, panelero, baker, taster, brewers","8. Plant and Machine Operators and Assemblers","Medium"
"369","8272",82,77,NA,"77 Workers in the preparation of food and beverages – bakers, pastry chefs, confectioners, butchers, butchers, treatment and production of dairy products, trapichero, panelero, baker, taster, brewers","3. Technicians and Associate Professionals","High"
"370","8273",82,77,NA,"77 Workers in the preparation of food and beverages – bakers, pastry chefs, confectioners, butchers, butchers, treatment and production of dairy products, trapichero, panelero, baker, taster, brewers","3. Technicians and Associate Professionals","High"
"371","8273",82,77,NA,"77 Workers in the preparation of food and beverages – bakers, pastry chefs, confectioners, butchers, butchers, treatment and production of dairy products, trapichero, panelero, baker, taster, brewers","8. Plant and Machine Operators and Assemblers","Medium"
"372","8276",82,77,NA,"77 Workers in the preparation of food and beverages – bakers, pastry chefs, confectioners, butchers, butchers, treatment and production of dairy products, trapichero, panelero, baker, taster, brewers","8. Plant and Machine Operators and Assemblers","Medium"
"373","8277",82,77,NA,"77 Workers in the preparation of food and beverages – bakers, pastry chefs, confectioners, butchers, butchers, treatment and production of dairy products, trapichero, panelero, baker, taster, brewers","8. Plant and Machine Operators and Assemblers","Medium"
"374","8278",82,77,NA,"77 Workers in the preparation of food and beverages – bakers, pastry chefs, confectioners, butchers, butchers, treatment and production of dairy products, trapichero, panelero, baker, taster, brewers","3. Technicians and Associate Professionals","High"
"375","8279",82,78,NA,"78 Tobacco processing workers, cigar makers","3. Technicians and Associate Professionals","High"
"376","8279",82,78,NA,"78 Tobacco processing workers, cigar makers","8. Plant and Machine Operators and Assemblers","Medium"
"377","8280",82,99,NA,"99 Unclassified laborers, garbage collectors, shoeshine boys, tire iron, street, garden, and park sweeper, restaurant dishwashers",NA,NA
"378","8280",82,84,NA,"84 Fitters, assemblers and installers of machinery and precision instruments, watchmakers and mechanics",NA,NA
"379","8281",82,84,NA,"84 Fitters, assemblers and installers of machinery and precision instruments, watchmakers and mechanics","3. Technicians and Associate Professionals","High"
"380","8282",82,85,NA,"85 Home and automotive electricians, telephone and meter installers, and repairers","3. Technicians and Associate Professionals","High"
"381","8290",82,99,NA,"99 Unclassified laborers, garbage collectors, shoeshine boys, tire iron, street, garden, and park sweeper, restaurant dishwashers","8. Plant and Machine Operators and Assemblers","Medium"
"382","8311",83,98,"Locomotive Engine Drivers","98 Drivers of transport vehicles, taxi drivers, drivers","8. Plant and Machine Operators and Assemblers","Medium"
"383","8312",83,98,"Railway Brake, Signal and Switch Operators","98 Drivers of transport vehicles, taxi drivers, drivers","8. Plant and Machine Operators and Assemblers","Medium"
"384","8320",83,98,NA,"98 Drivers of transport vehicles, taxi drivers, drivers",NA,NA
"385","8322",83,98,"Car, Taxi and Van Drivers","98 Drivers of transport vehicles, taxi drivers, drivers","8. Plant and Machine Operators and Assemblers","Medium"
"386","8323",83,98,NA,"98 Drivers of transport vehicles, taxi drivers, drivers","8. Plant and Machine Operators and Assemblers","Medium"
